社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_v2,rank_v1
樵湖岭社区,10,14,0,1,64,0.14925713124354353,0.04183516626454107,15.625,21.875,0.0,15.625,573.6800434409192,23.903335143371635,15.22170880983644,19.94848652573731,2.9117312825012753,17.593509775955898,0.5289634146341463,85,77.0
白沙脑社区,0,0,1,17,26,0.23867668809503978,0.018325281192742234,0.0,0.0,38.46153846153847,653.8461538461538,0.0,982.2495933720754,0.33621604759530666,0.7411931025865327,40.13312123090375,647.3251970921252,0.5251524390243902,86,
锦绣社区,0,0,6,4,30,0.1494277806126075,0.023668551183441952,0.0,0.0,200.0,133.33333333333334,0.0,422.5015685368947,0.2946066996347681,0.6619689673178505,183.14798761887275,135.68549100474021,0.5228658536585367,87,108.0
二马路社区,25,12,2,4,158,0.31000827542319126,0.03832594615761569,15.822784810126583,7.59493670886076,12.658227848101266,25.31645569620253,965.4034331686756,156.55190808140685,15.65308887994378,7.403901647362356,13.57849390080745,26.088594498036827,0.5182926829268293,88,70.0
白龙井社区,0,4,8,47,111,0.5943466105480959,0.04593781632329144,0.0,3.6036036036036037,72.07207207207207,423.4234234234234,87.07423034324589,1197.270667219631,0.08402701995506304,3.5869219747168604,71.3828485651185,422.84506642972934,0.5076219512195121,89,83.0
解放路社区,0,5,1,9,50,0.17959038408792938,0.026392105703441495,0.0,10.0,20.0,180.0,189.45059011899937,378.90118023799874,0.1819920495021215,9.1387829232726,22.242809759658357,180.9861081602793,0.5060975609756098,90,74.0
中书街社区,5,1,0,6,34,0.4157557303654487,0.024115012181617188,14.705882352941178,2.941176470588235,0.0,176.47058823529412,248.8076702931871,248.8076702931871,14.028225888352749,3.0121870926065264,5.2202526766397055,177.96248172682206,0.5038109756097561,91,56.0
金巴岭社区,0,1,3,0,16,2.1863109775439864,0.0,0.0,6.25,187.5,0.0,0.45739147370670924,1.3721744211201277,0.5197280385689961,5.32701928603458,161.17459675450544,8.150996467660391,0.5015243902439025,92,21.0
艾家嘴社区,2,2,4,72,166,0.8647559272138877,0.0807268765186768,1.2048192771084338,1.2048192771084338,24.096385542168676,433.73493975903614,49.549792739405305,941.4460620487007,1.2447751027280831,1.2960975420311454,24.714764285871965,433.31859762076397,0.5,93,52.0
石子岭社区,6,4,2,0,60,0.1921953870112926,0.046016507000892506,10.0,6.666666666666667,33.333333333333336,0.0,217.31332193045523,43.46266438609104,9.780331760653938,6.300152333213253,34.42302829595311,2.219988860647303,0.4847560975609756,94,60.0
东山花园社区,0,3,6,26,100,0.5289175894828887,0.07609875392841625,0.0,3.0,60.0,260.0,39.42245891203432,420.50622839503274,0.09306031110698994,3.0233174505414766,59.68406783460531,260.1216753615767,0.4695121951219512,95,107.0
峡州社区,0,6,0,1,34,0.3285072083075165,0.014369433969760767,0.0,17.647058823529413,0.0,29.41176470588235,417.55298174072004,69.59216362345335,0.26216210268390727,15.082895083182585,5.2202526766397055,32.90584220854826,0.4657012195121952,96,96.0
魏家湾社区,0,0,8,58,103,0.48285254079776824,0.03019607418482223,0.0,0.0,77.66990291262135,563.1067961165048,0.0,2185.7145930968163,0.09040955394847806,0.22434353050380398,76.72793095560537,561.8501754000837,0.4573170731707317,97,73.0
竹涛山社区,0,1,1,4,35,0.24699574101084604,0.020691573145302136,0.0,2.857142857142857,28.57142857142857,114.28571428571428,48.32885315088004,241.6442657544002,0.25513762115015365,2.941182775740769,30.83321888830505,116.55831443941342,0.4458841463414634,98,76.0
城东社区,8,8,0,3,109,0.42050846981894413,0.07808104640564614,7.339449541284404,7.339449541284404,0.0,27.522935779816514,204.9152865713006,38.421616232118865,7.271948377709027,7.084300279927978,1.7505369294865942,28.631235629906413,0.43902439024390244,99,89.0
墨池巷社区,4,1,0,0,24,0.16637833471404015,0.02083847339517351,16.666666666666664,4.166666666666666,0.0,0.0,239.94080109333112,0.0,15.558636887426427,3.9707926684449,7.0954167019231935,5.486106712360948,0.4344512195121952,100,94.0
清波路社区,15,4,0,0,60,0.3519018589892524,0.03622447109198304,25.0,6.666666666666667,0.0,0.0,524.5073130744745,0.0,24.221644729794257,6.300152333213253,3.094173694477377,2.219988860647303,0.43445121951219506,101,93.0
徐家坝社区,0,2,6,31,129,0.2524392460822421,0.02218261375676818,0.0,1.550387596899225,46.51162790697674,240.31007751937986,90.16070071498117,1667.9729632271517,0.0725095625882793,1.6476200333480084,46.65446726198417,240.47586977555272,0.4169207317073171,102,88.0
平湖馨苑社区,0,2,0,6,46,0.17518781025247407,0.045430888244958216,0.0,4.3478260869565215,0.0,130.43478260869566,44.0229121036821,132.0687363110463,0.19705724138116262,4.207444636478888,3.9633425780145726,132.00633343212078,0.40777439024390244,103,128.0
东山社区,0,0,4,6,59,0.19820684963456972,0.02764099066884371,0.0,0.0,67.79661016949153,101.6949152542373,0.0,361.78153380268566,0.15528141174404547,0.37295434492250673,66.79823905695383,103.149721724104,0.4054878048780488,104,139.0
尚书巷社区,3,5,0,0,62,0.3393979925818536,0.03188744806588107,4.838709677419355,8.064516129032258,0.0,0.0,250.88241565996745,0.0,4.812130799982743,7.559104125314012,3.000181446172203,2.1489142988176586,0.40472560975609756,105,91.0
石板社区,0,0,8,23,104,5.268713647776033,0.03129561763832972,0.0,0.0,76.92307692307693,221.15384615384613,0.0,990.5540244724981,0.08955921035539573,0.22233008306447063,76.01642590283639,221.4453664239795,0.40396341463414637,106,143.0
松林路社区,0,0,0,1,11,0.22588349741048744,0.009578584972132587,0.0,0.0,0.0,90.9090909090909,0.0,4.427060902916458,0.7148035249317543,1.344685659496718,13.311533862710874,98.89371818112753,0.40091463414634143,107,97.0
东湖社区,17,8,12,14,654,0.2373096652212995,0.31239617996278934,2.599388379204893,1.2232415902140672,18.34862385321101,21.406727828746178,80.02658676228961,83.22765023278119,2.6047033596840374,1.2469676801938325,18.5418169337971,21.596492429137985,0.40091463414634143,108,99.0
丫口社区,27,7,0,0,115,0.18133735308404023,0.04453508170920108,23.47826086956522,6.086956521739131,0.0,0.0,763.4430811648315,0.0,23.094905005558264,5.920252039057519,1.662154922469816,1.1625701931200938,0.3978658536585366,109,106.0
