社区,体检安全,体检民生,12345安全,12345民生,bldg_n,area_km2,resi_km2,TJ安/百栋,TJ民/百栋,热线安/千栋,热线民/千栋,体检点/km2,热线件/km2,TJ安EB,TJ民EB,热线安EB,热线民EB,score,rank_new,rank_old,Δ(old-new)
长樵溪社区,1,13,1,0,51,0.19840311096743857,0.03565236277803086,1.9607843137254901,25.49019607843137,19.607843137254903,0.0,392.6808466289606,28.048631902068614,2.0699748463105943,22.65631872400243,21.142485551666475,1.8068628276311438,0.5221518987341772,79,75,-4
黄河路社区,3,5,2,14,122,1.2549226852782587,0.04283113194257902,2.459016393442623,4.098360655737705,16.393442622950822,114.75409836065575,186.78002745117948,373.56005490235896,2.4964775002037576,4.070299513784729,17.088478205504114,115.29209041634137,0.5126582278481012,80,84,4
白家冲社区,0,0,6,71,66,0.38796431253279223,0.0471426071932111,0.0,0.0,90.9090909090909,1075.7575757575758,0.0,1633.3419932508227,0.15239191129142468,0.37338434905880324,90.40519845877918,1073.3604475021957,0.5110759493670886,81,78,-3
镇境山社区,67,15,0,0,78,0.28489547867118364,0.04254428540704787,85.8974358974359,19.230769230769234,0.0,0.0,1927.4033919116177,0.0,83.52411369798426,17.846046673194518,1.4107425233506254,1.1832782062217657,0.5079113924050633,82,38,-44
白龙井社区,0,4,9,41,111,0.5943466105480959,0.04593781632329144,0.0,3.6036036036036037,81.08108108108108,369.3693693693694,87.07423034324589,1088.4278792905736,0.09188747553949456,3.6046127499762473,80.91907408626695,369.4257531888458,0.5031645569620253,83,76,-7
夜明珠社区,4,2,4,5,94,0.9374781101272958,0.04240413137986919,4.25531914893617,2.127659574468085,42.5531914893617,53.191489361702125,141.49564688049293,212.2434703207394,4.260018357042824,2.2391347598386546,43.01122045205528,54.041975121973,0.49683544303797467,84,90,6
福久源社区,0,0,6,31,59,0.2879368252129897,0.016813844543751334,0.0,0.0,101.6949152542373,525.4237288135594,0.0,2200.567508740921,0.16978227967521553,0.41263368942818773,100.84629360260618,524.9140665113566,0.4920886075949367,85,96,11
绿洲社区,0,0,3,11,46,0.8598757663196883,0.3170031653406754,0.0,0.0,65.21739130434783,239.13043478260872,0.0,44.163596868045616,0.2154405729740992,0.5127277728846585,65.37070645192678,239.92425346519562,0.4707278481012658,86,120,34
东方社区,0,0,7,2,39,0.14926656118921733,0.032398184663935015,0.0,0.0,179.48717948717947,51.28205128205128,0.0,277.79334223064086,0.2519196699831345,0.5897602593677013,175.1362320060048,53.336168408144054,0.46281645569620256,87,123,36
徐家坝社区,0,2,9,31,129,0.2524392460822421,0.02218261375676818,0.0,1.550387596899225,69.76744186046511,240.31007751937986,90.16070071498117,1803.2140142996234,0.0792945001076888,1.6653841710145203,69.76723570298799,240.59193535292172,0.44541139240506333,88,83,-5
城东社区,8,8,0,5,109,0.42050846981894413,0.07808104640564614,7.339449541284404,7.339449541284404,0.0,45.87155963302752,204.9152865713006,64.03602705353144,7.278669053245436,7.09721404840972,1.0153627461098014,46.6209131835158,0.43987341772151894,89,105,16
夷陵路社区,10,8,0,1,81,0.21300710219584235,0.025423536019567337,12.345679012345679,9.876543209876543,0.0,12.345679012345679,708.005368967803,39.33363160932238,12.12385345019955,9.340329527654793,1.359511199566805,13.449749763979877,0.43670886075949367,90,95,5
尚书巷社区,3,5,0,1,62,0.3393979925818536,0.03188744806588107,4.838709677419355,8.064516129032258,0.0,16.129032258064516,250.88241565996745,31.36030195749593,4.824519401731113,7.579583865536675,1.7655896475495567,17.555973266401097,0.43591772151898733,91,137,46
环城北路社区,1,4,0,3,58,0.09642610703299656,0.03685389451277472,1.7241379310344827,6.896551724137931,0.0,51.724137931034484,135.67087186041744,81.40252311625046,1.8298427141312774,6.5172331418321985,1.8840654115582598,53.1062806804023,0.43275316455696206,92,133,41
清波路社区,15,4,0,0,60,0.3519018589892524,0.03622447109198304,25.0,6.666666666666667,0.0,0.0,524.5073130744745,0.0,24.228252981540184,6.324392653394245,1.822904538691742,1.536884709572033,0.4264240506329114,93,87,-6
墨池巷社区,4,1,0,0,24,0.16637833471404015,0.02083847339517351,16.666666666666664,4.166666666666666,0.0,0.0,239.94080109333112,0.0,15.58080228363381,4.0351434898064555,4.385347632949756,3.8199855484940817,0.42405063291139244,94,134,40
苏家榜社区,8,5,0,1,70,0.31608298923540357,0.039667395909295564,11.428571428571429,7.142857142857142,0.0,14.285714285714285,327.72506745151907,25.209620573193774,11.202694355143636,6.798102483590053,1.5683450348204009,15.556250895297806,0.42325949367088606,95,85,-10
峡州社区,0,6,0,0,34,0.3285072083075165,0.014369433969760767,0.0,17.647058823529413,0.0,0.0,417.55298174072004,0.0,0.28658015734926306,15.086524144500538,3.1538596763089934,2.7041283774716507,0.4177215189873418,96,128,32
松林路社区,0,0,0,1,11,0.22588349741048744,0.009578584972132587,0.0,0.0,0.0,90.9090909090909,0.0,4.427060902916458,0.7806451538129535,1.477955405614849,8.906269203764058,97.25894011742778,0.41455696202531644,97,158,61
四方堰社区,2,9,0,0,65,0.1575406341194584,0.02724828837686222,3.076923076923077,13.846153846153847,0.0,0.0,403.69508160889137,0.0,3.1246117557759137,12.776595441105831,1.6860707065259761,1.41908623546891,0.4121835443037975,98,102,4
